DOL,CD,FI3312B,TI3302A
37.542,6.015,30.602,89.690
37.583,6.017,30.429,89.667
37.625,6.017,30.640,89.629
37.667,6.015,30.312,89.640
37.708,6.014,30.470,89.608
37.750,6.013,30.558,89.580
37.792,6.014,30.586,89.531
37.833,6.013,30.471,89.557
37.875,6.014,30.485,89.624
37.958,6.012,30.656,89.627
38.000,6.013,30.696,89.644
38.042,6.014,30.614,89.599
38.083,6.013,30.649,89.592
38.125,6.013,30.387,89.552
38.167,6.014,30.627,89.570
38.208,6.013,30.564,89.552
38.250,6.013,30.540,89.549
38.292,6.013,30.199,89.546
38.375,3.677,30.308,87.715
38.417,3.678,30.264,87.449
38.458,3.678,29.986,87.534
38.500,3.678,30.170,87.531
38.542,3.679,29.942,87.535
38.583,3.678,29.981,87.533
38.625,3.678,29.895,87.552
38.667,3.677,29.880,87.574
38.708,3.677,29.847,87.422
38.750,3.677,30.000,87.419
38.792,3.677,30.090,87.445
38.833,3.678,30.075,87.496
38.875,3.677,30.210,87.527
38.958,6.012,30.441,88.960
39.000,6.013,30.416,88.699
39.042,6.010,30.515,88.699
39.083,6.010,30.453,88.718
39.125,6.012,30.367,88.729
39.167,6.013,30.285,88.719
39.208,6.012,30.329,88.696
39.250,6.011,30.305,88.692
39.292,6.011,30.154,88.667
39.375,3.677,30.372,87.506
39.417,3.677,30.203,87.491
39.458,3.679,30.382,87.529
39.500,3.678,30.471,87.576
39.542,3.678,30.281,87.527
39.583,3.677,30.199,87.472
39.625,3.679,30.286,87.418
39.667,3.677,30.248,87.392
39.708,3.676,30.157,86.879
39.750,3.676,30.366,86.759
39.792,3.676,30.252,86.760
39.833,3.675,29.924,87.251
39.875,3.676,30.280,88.055
39.958,6.012,30.797,89.175
40.000,6.010,30.495,88.798
40.042,6.011,30.260,88.784
40.083,6.011,30.607,88.783
40.125,6.012,30.594,88.775
40.167,6.011,30.475,88.764
40.208,6.011,30.699,88.753
40.250,6.010,30.564,88.776
40.292,6.012,30.518,88.720
40.375,6.011,30.782,88.808
40.417,6.014,30.705,88.801
40.458,6.013,30.712,88.808
40.500,6.014,30.448,88.808
40.542,6.014,30.555,88.812
40.583,6.015,30.678,88.806
40.625,6.012,30.527,89.417
40.667,6.013,30.485,89.350
40.708,6.014,30.458,89.319
40.750,6.014,30.431,89.280
