DOL,CD,FI3312A,FI3312B
36.875,6.011,29.362,30.758
36.958,6.011,29.476,30.653
37.000,6.014,29.126,30.552
37.042,6.014,29.373,30.785
37.083,6.013,28.789,30.739
37.125,6.014,29.406,30.420
37.167,6.013,29.621,30.581
37.208,6.011,29.026,30.605
37.250,6.011,28.861,30.795
37.292,6.012,29.559,30.218
37.375,6.014,29.643,30.807
37.417,6.015,28.862,30.464
37.458,6.017,29.613,30.726
37.500,6.015,29.548,30.656
37.542,6.015,29.659,30.602
37.583,6.017,29.593,30.429
37.625,6.017,29.482,30.640
37.667,6.015,28.901,30.312
37.708,6.014,28.685,30.470
37.750,6.013,29.552,30.558
37.792,6.014,28.837,30.586
37.833,6.013,29.008,30.471
37.875,6.014,29.603,30.485
37.958,6.012,29.589,30.656
38.000,6.013,28.778,30.696
38.042,6.014,29.422,30.614
38.083,6.013,29.551,30.649
38.125,6.013,29.568,30.387
38.167,6.014,29.649,30.627
38.208,6.013,28.599,30.564
38.250,6.013,29.505,30.540
38.292,6.013,29.591,30.199
38.375,3.677,18.954,30.308
38.417,3.678,18.999,30.264
38.458,3.678,18.981,29.986
38.500,3.678,18.975,30.170
38.542,3.679,18.976,29.942
38.583,3.678,18.977,29.981
38.625,3.678,18.956,29.895
38.667,3.677,18.954,29.880
38.708,3.677,18.909,29.847
38.750,3.677,18.902,30.000
38.792,3.677,18.906,30.090
38.833,3.678,18.894,30.075
38.875,3.677,18.904,30.210
38.958,6.012,28.606,30.441
39.000,6.013,28.562,30.416
39.042,6.010,28.523,30.515
39.083,6.010,28.305,30.453
39.125,6.012,28.377,30.367
39.167,6.013,28.242,30.285
39.208,6.012,28.530,30.329
39.250,6.011,28.627,30.305
39.292,6.011,28.261,30.154
39.375,3.677,18.999,30.372
39.417,3.677,19.255,30.203
39.458,3.679,19.253,30.382
39.500,3.678,19.377,30.471
39.542,3.678,19.341,30.281
39.583,3.677,19.350,30.199
39.625,3.679,19.353,30.286
39.667,3.677,19.270,30.248
39.708,3.676,19.006,30.157
39.750,3.676,18.946,30.366
39.792,3.676,18.557,30.252
39.833,3.675,19.214,29.924
39.875,3.676,19.181,30.280
39.958,6.012,28.093,30.797
40.000,6.010,28.283,30.495
40.042,6.011,28.484,30.260
40.083,6.011,28.060,30.607
40.125,6.012,28.229,30.594
40.167,6.011,28.349,30.475
40.208,6.011,28.226,30.699
40.250,6.010,28.368,30.564
40.292,6.012,28.453,30.518
40.375,6.011,28.598,30.782
40.417,6.014,28.711,30.705
40.458,6.013,28.720,30.712
40.500,6.014,28.566,30.448
40.542,6.014,28.141,30.555
40.583,6.015,28.740,30.678
40.625,6.012,28.274,30.527
40.667,6.013,28.332,30.485
40.708,6.014,28.668,30.458
40.750,6.014,28.490,30.431
